"user_id","target","time"
3,0,77
13,0,86
37,0,89
41,0,57
42,0,84
46,0,91
49,0,91
50,0,88
65,0,28
66,0,90
68,0,90
70,0,90
76,0,78
77,0,87
81,0,61
82,0,91
90,0,91
94,0,91
100,1,41
105,0,91
119,0,89
140,0,91
141,0,91
144,0,91
145,0,85
146,0,91
151,0,68
161,0,87
176,0,82
180,0,91
183,1,5
193,1,59
203,0,81
204,0,80
208,1,39
213,0,89
214,0,91
216,0,91
228,0,88
253,0,91
262,0,86
263,0,90
266,1,18
273,0,88
275,0,82
295,0,37
297,0,91
310,0,90
316,0,83
330,0,86
334,0,70
339,0,53
347,0,84
348,0,90
355,0,91
363,0,90
365,1,91
369,0,75
385,0,73
406,0,91
408,0,75
422,0,90
423,0,85
431,0,89
438,0,49
439,0,91
452,0,83
454,0,72
455,0,87
465,0,89
467,0,80
469,0,91
481,0,89
499,0,91
508,0,90
526,0,91
538,0,91
543,0,91
555,0,89
569,0,58
594,0,7
598,0,84
602,0,91
611,0,91
614,0,88
623,0,87
624,0,91
629,0,90
645,0,91
658,0,86
659,0,81
663,0,71
666,0,91
668,0,91
677,0,89
688,0,35
690,0,91
703,0,91
704,0,85
714,0,90
720,0,91
733,0,86
743,0,83
760,0,68
767,0,34
768,0,91
770,0,91
783,0,91
790,0,71
796,0,88
800,0,91
813,0,87
814,0,90
825,0,84
827,0,86
838,0,90
844,0,16
849,0,83
873,0,86
878,0,74
879,0,91
881,0,91
918,0,90
919,0,54
924,0,91
930,0,84
934,0,89
942,0,65
964,0,91
982,0,81
984,1,53
989,0,91
994,0,91
996,0,81
999,0,91
1017,0,90
1027,0,64
1031,0,91
1040,0,82
1041,0,91
1048,0,89
1059,0,87
1070,0,89
1087,0,91
1089,0,91
1094,0,90
1107,0,76
1113,0,90
1122,0,83
1126,0,89
1127,0,51
1134,0,12
1160,0,33
1163,0,91
1179,0,90
1181,0,91
1190,0,91
1198,0,91
1203,0,29
1205,0,62
1212,0,86
1214,0,91
1215,0,91
1216,0,91
1225,0,82
1242,0,83
1248,0,88
1257,0,62
1258,0,91
1268,0,85
1285,0,91
1304,0,84
1307,0,89
1313,0,91
1319,0,85
1334,1,46
1343,0,91
1368,0,91
1371,0,62
1375,0,86
1382,0,91
1402,1,22
1408,0,79
1412,0,91
1432,0,81
1434,0,91
1435,0,91
1440,0,91
1441,0,88
1444,0,87
1463,0,91
1465,0,90
1478,0,91
1485,0,91
1503,0,70
1508,0,83
1516,0,91
1521,1,91
1534,0,26
1546,0,91
1553,0,91
1565,0,82
1579,0,8
1581,0,85
1585,0,87
1596,0,90
1613,0,90
1621,0,80
1636,0,91
1639,0,91
1651,0,91
1654,0,90
1658,0,91
1666,0,91
1669,0,80
1670,0,91
1678,0,91
1687,0,91
1705,0,91
1707,0,89
1728,0,85
1730,0,64
1732,0,90
1734,0,91
1755,0,91
1784,0,89
1793,0,91
1795,0,62
1806,0,90
1823,0,91
1837,0,91
1839,0,53
1844,0,84
1845,0,85
1847,0,89
1854,0,90
1867,0,90
1885,0,89
1889,0,83
1939,0,9
1969,0,49
1970,0,84
1975,0,91
1979,0,86
1985,0,90
2010,0,89
2037,0,91
2046,0,82
2056,0,91
2064,0,90
2071,0,91
2098,0,90
2100,0,91
2114,0,91
2124,0,91
2130,0,91
2137,0,90
2139,0,88
2140,1,21
