"user_id","report","employee_count_nm","bankemplstatus","customer_age"
3,2,"ОТ 101 ДО 500",0,3
9,1,"БОЛЕЕ 1001",0,3
13,6,"ОТ 501 ДО 1000",0,2
37,5,"БОЛЕЕ 1001",0,2
41,1,"ОТ 101 ДО 500",0,2
42,12,"ДО 10",0,3
46,11,"БОЛЕЕ 1001",0,3
49,1,"БОЛЕЕ 1001",0,3
50,1,NA,0,3
61,1,"ОТ 11 ДО 50",0,3
62,10,"ДО 10",0,1
65,3,"БОЛЕЕ 1001",0,3
66,5,"ОТ 11 ДО 50",0,2
68,8,"БОЛЕЕ 1001",0,3
70,9,"БОЛЕЕ 1001",0,2
76,12,"ОТ 51 ДО 100",0,3
77,10,"ОТ 101 ДО 500",0,3
80,5,"БОЛЕЕ 1001",0,1
81,5,"ОТ 51 ДО 100",0,2
82,9,"ДО 10",0,3
88,3,NA,0,2
90,2,"ОТ 101 ДО 500",0,3
94,12,"БОЛЕЕ 1001",0,2
99,3,NA,0,0
100,11,"БОЛЕЕ 1001",0,3
105,4,NA,0,3
109,10,"БОЛЕЕ 1001",0,3
115,9,"ОТ 501 ДО 1000",0,3
119,6,"ОТ 501 ДО 1000",0,2
135,12,"ОТ 101 ДО 500",0,2
140,5,"ОТ 11 ДО 50",0,2
141,3,"ОТ 101 ДО 500",0,3
144,4,"ОТ 101 ДО 500",0,2
145,10,"ОТ 101 ДО 500",0,3
146,2,"ОТ 51 ДО 100",0,2
151,4,"ОТ 11 ДО 50",0,3
161,12,NA,0,3
176,3,"ОТ 11 ДО 50",0,3
180,1,"БОЛЕЕ 1001",0,1
183,6,"ОТ 101 ДО 500",0,3
193,12,"ДО 10",0,3
200,11,"БОЛЕЕ 1001",0,2
203,3,"БОЛЕЕ 1001",0,3
204,1,"БОЛЕЕ 1001",0,3
208,10,NA,0,1
213,12,"ОТ 11 ДО 50",0,3
214,12,"ОТ 101 ДО 500",0,2
216,12,NA,0,3
219,11,NA,0,3
226,1,"ОТ 101 ДО 500",0,3
227,7,"БОЛЕЕ 500",0,3
228,7,"ОТ 51 ДО 100",0,1
230,4,NA,0,3
251,12,"ОТ 51 ДО 100",0,3
253,7,"БОЛЕЕ 1001",0,3
262,7,"ДО 10",0,2
263,12,"ОТ 101 ДО 500",0,3
265,4,"ОТ 101 ДО 500",0,3
266,7,"ОТ 101 ДО 500",0,3
269,9,"ОТ 51 ДО 100",0,3
273,11,"ОТ 101 ДО 500",0,3
275,2,"ОТ 101 ДО 500",0,2
287,12,NA,0,2
295,3,"ОТ 101 ДО 500",0,3
297,3,"ОТ 101 ДО 500",0,2
309,4,"БОЛЕЕ 500",0,3
310,8,NA,0,3
312,8,"ОТ 11 ДО 30",0,3
316,7,"ОТ 31 ДО 50",0,2
320,7,"БОЛЕЕ 500",0,2
326,8,"ОТ 101 ДО 500",0,2
327,8,"ОТ 101 ДО 500",0,1
330,11,NA,0,1
331,8,"ОТ 101 ДО 500",0,3
334,4,"ОТ 11 ДО 50",0,3
339,6,"ОТ 11 ДО 50",0,3
346,5,"ОТ 501 ДО 1000",0,3
347,7,"ОТ 101 ДО 500",0,3
348,1,"ОТ 101 ДО 500",0,3
355,12,"БОЛЕЕ 1001",1,3
361,10,"БОЛЕЕ 1001",0,2
363,10,"БОЛЕЕ 1001",0,2
365,5,NA,0,2
369,4,NA,0,1
378,3,"БОЛЕЕ 500",0,3
384,7,"БОЛЕЕ 1001",0,3
385,6,NA,0,1
392,4,"ОТ 51 ДО 100",0,2
402,12,NA,0,3
406,1,"ОТ 101 ДО 500",0,2
408,11,"БОЛЕЕ 1001",0,3
422,7,"ДО 10",0,2
423,1,NA,0,3
430,11,"БОЛЕЕ 1001",1,3
431,7,"ОТ 51 ДО 100",0,3
438,6,"БОЛЕЕ 1001",0,3
439,6,"БОЛЕЕ 1001",0,3
442,4,NA,0,2
452,10,NA,0,2
454,9,NA,0,2
455,11,NA,0,2
465,3,"БОЛЕЕ 1001",0,3
467,1,"БОЛЕЕ 1001",0,2
469,10,"ОТ 101 ДО 500",0,2
481,7,"ОТ 101 ДО 500",0,3
499,3,"ОТ 11 ДО 50",0,2
508,1,"БОЛЕЕ 1001",0,2
526,8,"БОЛЕЕ 1001",0,3
538,8,"ОТ 101 ДО 500",0,2
543,8,"ОТ 51 ДО 100",0,3
553,7,"БОЛЕЕ 1001",0,2
555,5,"ОТ 31 ДО 50",0,3
558,5,"ОТ 101 ДО 500",0,2
569,1,"БОЛЕЕ 1001",0,1
572,2,NA,0,2
579,10,"ОТ 101 ДО 500",0,2
594,11,"ОТ 11 ДО 50",0,3
598,8,NA,0,2
602,11,"ОТ 101 ДО 500",0,2
611,3,"БОЛЕЕ 1001",0,3
614,5,"ОТ 501 ДО 1000",0,3
623,7,NA,0,2
624,8,"ОТ 501 ДО 1000",0,2
629,5,NA,0,3
632,9,"ОТ 11 ДО 50",0,3
641,10,"БОЛЕЕ 1001",0,3
645,1,"БОЛЕЕ 500",0,3
658,3,"ОТ 501 ДО 1000",0,3
659,8,"БОЛЕЕ 1001",0,3
663,6,"ОТ 101 ДО 500",0,3
666,3,"ОТ 101 ДО 500",0,2
668,12,NA,0,2
673,10,"БОЛЕЕ 1001",0,1
677,10,"ОТ 101 ДО 500",0,1
688,9,"ОТ 101 ДО 500",0,2
690,12,"БОЛЕЕ 1001",0,1
700,9,NA,0,3
703,5,"ОТ 101 ДО 500",0,3
704,10,"БОЛЕЕ 1001",0,2
710,10,"ОТ 101 ДО 500",0,3
713,4,"БОЛЕЕ 1001",0,3
714,2,"ОТ 501 ДО 1000",0,3
720,7,"ОТ 101 ДО 500",0,2
731,2,"ОТ 101 ДО 500",0,3
733,2,"ОТ 501 ДО 1000",0,3
743,5,"ОТ 501 ДО 1000",0,3
754,6,"ОТ 501 ДО 1000",0,2
760,8,"ОТ 51 ДО 100",0,3
767,10,"ОТ 101 ДО 500",0,1
768,8,NA,0,2
770,3,NA,0,3
777,2,"ОТ 101 ДО 500",0,3
781,1,"БОЛЕЕ 1001",0,1
783,4,NA,0,2
787,4,"ОТ 31 ДО 50",0,2
790,8,NA,0,2
796,6,"БОЛЕЕ 1001",0,3
800,8,"ОТ 101 ДО 500",0,3
