"user_id","predict"
9,-3.18439589558319
61,-2.62356024638618
62,-2.84065366948793
80,-3.26943814171314
88,-2.06850026483207
99,-1.22048183068635
109,-3.55323476827517
115,-3.37471130185011
135,-3.28668321641798
200,-3.59293674378182
219,-2.39763716201739
226,-2.83716027125357
227,-3.48992046237549
230,-2.11076248325697
251,-3.26245303775835
265,-2.9601065621509
269,-3.13950674686103
287,-2.43733913752404
309,-3.36697417147816
312,-2.89594790131036
320,-3.48864034091636
326,-3.12275482855487
327,-3.04514880828085
331,-3.124034950014
346,-3.210782913987
361,-3.55195464681604
378,-3.32599207451239
384,-3.43028847737784
392,-2.93331614057303
402,-2.43861925898317
430,-6.44198526043538
442,-2.10948236179784
553,-3.42900835591872
558,-2.99980853765755
572,-2.02751816786629
579,-3.20471902248642
632,-2.95141702211238
641,-3.55323476827517
673,-3.47434862654201
700,-2.31567296808584
710,-3.20599914394555
713,-3.30734218648052
731,-2.87814236821935
754,-3.25048488949366
777,-2.87814236821935
781,-3.10550975385004
787,-2.5998012378815
803,-3.124034950014
809,-2.99980853765755
822,-3.48864034091636
840,-3.22147094079258
861,-3.26636008951474
869,-3.26507996805561
882,-6.0308841693185
884,-3.24698124091133
897,-2.5856562016188
905,-3.04079063462332
908,-3.32599207451239
953,-2.85368568288546
974,-1.98781619235964
975,-3.08305285304823
983,-3.04207075608245
986,-3.00108865911667
988,-3.55323476827517
1018,-2.62228012492705
1020,-3.28668321641798
1068,-2.02879828932542
1114,-2.7992562264862
1128,-1.98653607090052
1147,-3.00022388369351
1166,-2.39763716201739
1169,-3.57496270850544
1175,-3.20599914394555
1185,-3.05754255292948
1213,-3.16501704697978
1218,-2.31439284662672
1227,-3.47434862654201
1255,-2.37607943694412
1264,-3.20950279252788
1287,-2.5507009385291
1298,-3.48992046237549
1301,-2.31567296808584
1308,-2.92893813506682
1322,-2.31567296808584
1363,-2.02879828932542
1364,-3.10160270209365
1365,-2.35665506505162
1376,-2.72274752877882
1401,-2.89233404360725
1454,-2.19580472938692
1455,-2.78590040660187
1457,-3.00108865911667
1492,-2.5856562016188
